comparison,dataset,total,base_correct,tuned_correct,base_accuracy,tuned_accuracy,delta_accuracy,improved,worsened,both_correct,both_wrong,net_improvement,prediction_changed,prediction_same
qwen05_drugs,bioasq,618,402,411,0.6504854368932039,0.6650485436893204,0.014563106796116505,25,16,386,191,9,41,577
qwen05_drugs,medmcqa,4183,1149,1056,0.27468324169256514,0.25245039445374134,-0.02223284723882381,129,222,927,2905,-93,640,3543
qwen05_drugs,medqa,1273,401,407,0.3150039277297722,0.3197172034564022,0.004713275726630008,70,64,337,802,6,245,1028
qwen05_drugs,mmlu,1089,458,439,0.42056932966023874,0.40312213039485767,-0.017447199265381085,37,56,402,594,-19,144,945
qwen05_drugs,pubmedqa,500,279,249,0.558,0.498,-0.06,66,96,183,155,-30,181,319
qwen05_drugs,overall,7663,2689,2562,0.35090695550045675,0.3343338118230458,-0.016573143677410935,327,454,2235,4647,-127,1251,6412
