comparison,dataset,total,base_correct,tuned_correct,base_accuracy,tuned_accuracy,delta_accuracy,improved,worsened,both_correct,both_wrong,net_improvement,prediction_changed,prediction_same
gemma_who,bioasq,618,437,413,0.7071197411003236,0.6682847896440129,-0.038834951456310676,10,34,403,171,-24,44,574
gemma_who,medmcqa,4183,1868,1799,0.44656944776476215,0.43007410949079605,-0.016495338273966053,345,414,1454,1970,-69,1180,3003
gemma_who,medqa,1273,604,564,0.4744697564807541,0.4430479183032207,-0.031421838177533384,80,120,484,589,-40,315,958
gemma_who,mmlu,1089,622,593,0.5711662075298439,0.5445362718089991,-0.02662993572084481,60,89,533,407,-29,236,853
gemma_who,pubmedqa,500,244,280,0.488,0.56,0.072,57,21,223,199,36,103,397
gemma_who,overall,7663,3775,3649,0.4926269085214668,0.47618426203836617,-0.016442646483100613,552,678,3097,3336,-126,1878,5785
