comparison,dataset,total,base_correct,tuned_correct,base_accuracy,tuned_accuracy,delta_accuracy,improved,worsened,both_correct,both_wrong,net_improvement,prediction_changed,prediction_same
gemma_drugs,bioasq,618,437,425,0.7071197411003236,0.6877022653721683,-0.019417475728155338,5,17,420,176,-12,22,596
gemma_drugs,medmcqa,4183,1868,1861,0.44656944776476215,0.44489600765001197,-0.0016734401147501792,280,287,1581,2035,-7,898,3285
gemma_drugs,medqa,1273,604,594,0.4744697564807541,0.4666142969363708,-0.007855459544383346,71,81,523,598,-10,251,1022
gemma_drugs,mmlu,1089,622,600,0.5711662075298439,0.5509641873278237,-0.020202020202020204,52,74,548,415,-22,184,905
gemma_drugs,pubmedqa,500,244,279,0.488,0.558,0.07,50,15,229,206,35,95,405
gemma_drugs,overall,7663,3775,3759,0.4926269085214668,0.49053895341250164,-0.002087955108965157,458,474,3301,3430,-16,1450,6213
